Datetime,FLOW-IN-CALC-CLEANED,FLOW-IN-CALC-CLEANED-VOLCOR,FLOW-IN-CALC-RAW-PEAKS
18Dec2025  0400,27100,26820,27585
18Dec2025  0500,26829,26552,26302
18Dec2025  0600,26559,26284,24935
18Dec2025  0700,26288,26016,26212
18Dec2025  0800,26017,25748,26302
18Dec2025  0900,25789,25523,23800
18Dec2025  1000,25615,25351,24935
18Dec2025  1100,25441,25179,25127
18Dec2025  1200,25267,25006,25025
18Dec2025  1300,25094,24834,22465
18Dec2025  1400,24920,24662,26252
18Dec2025  1500,24746,24490,24887
18Dec2025  1600,24572,24318,23650
18Dec2025  1700,24432,24180,25017
18Dec2025  1800,24371,24119,24925
18Dec2025  1900,24310,24059,24967
18Dec2025  2000,24248,23998,19750
18Dec2025  2100,24187,23938,23460
18Dec2025  2200,24126,23877,24738
18Dec2025  2300,24065,23817,24698
19Dec2025  0000,24883,24626,23333
19Dec2025  0100,26114,25845,23453
19Dec2025  0200,27346,27064,25829
19Dec2025  0300,28578,28283,25932
19Dec2025  0400,29810,29502,28581
19Dec2025  0500,30648,30331,29855
19Dec2025  0600,31211,30889,29720
19Dec2025  0700,31774,31446,29724
19Dec2025  0800,32337,32003,31171
19Dec2025  0900,32900,32560,32408
19Dec2025  1000,33462,33117,33690
19Dec2025  1100,33843,33494,33791
19Dec2025  1200,34025,33674,35122
19Dec2025  1300,34207,33854,32533
19Dec2025  1400,34390,34034,36542
19Dec2025  1500,34572,34215,35036
19Dec2025  1600,34754,34395,35136
19Dec2025  1700,34936,34575,35178
19Dec2025  1800,35118,34755,35190
19Dec2025  1900,35300,34936,35251
19Dec2025  2000,35482,35116,36503
19Dec2025  2100,35664,35296,35254
19Dec2025  2200,35846,35476,34159
19Dec2025  2300,35810,35440,31322
20Dec2025  0000,35147,34784,36417
20Dec2025  0100,34485,34129,35266
20Dec2025  0200,33823,33474,33942
20Dec2025  0300,33161,32818,32656
20Dec2025  0400,32653,32316,32758
20Dec2025  0500,32220,31887,32769
20Dec2025  0600,31786,31458,33942
20Dec2025  0700,31353,31029,32652
20Dec2025  0800,30919,30600,32754
20Dec2025  0900,30486,30171,31499
20Dec2025  1000,30053,29742,30254
20Dec2025  1100,29619,29313,31427
20Dec2025  1200,29186,28884,28913
20Dec2025  1300,28752,28455,31544
20Dec2025  1400,28319,28026,27708
20Dec2025  1500,27881,27593,30202
20Dec2025  1600,27440,27156,27539
20Dec2025  1700,26998,26720,28854
20Dec2025  1800,26557,26283,26248
20Dec2025  1900,26115,25846,26302
20Dec2025  2000,25674,25409,27698
