Datetime,FLOW-IN-CALC-CLEANED,FLOW-IN-CALC-CLEANED-VOLCOR,FLOW-IN-CALC-RAW-PEAKS
06Nov2015  0500,6210,5163,1653
06Nov2015  0600,6175,5134,9155
06Nov2015  0700,6140,5105,4208
06Nov2015  0800,6105,5076,0
06Nov2015  0900,6070,5047,11118
06Nov2015  1000,6035,5018,0
06Nov2015  1100,6000,4988,6953
06Nov2015  1200,5965,4959,9739
06Nov2015  1300,5930,4930,3075
06Nov2015  1400,5895,4901,2657
06Nov2015  1500,5860,4872,4460
06Nov2015  1600,5825,4843,10279
06Nov2015  1700,5790,4814,-739
06Nov2015  1800,5755,4785,10119
06Nov2015  1900,5720,4756,4550
06Nov2015  2000,5701,4740,91
06Nov2015  2100,5688,4729,4519
06Nov2015  2200,5676,4719,5870
06Nov2015  2300,5663,4708,94
07Nov2015  0000,5651,4698,5442
07Nov2015  0100,5638,4688,5732
07Nov2015  0200,5626,4677,817
07Nov2015  0300,5613,4667,5322
07Nov2015  0400,5601,4656,5402
07Nov2015  0500,5588,4646,1517
07Nov2015  0600,5576,4635,4255
07Nov2015  0700,5563,4625,4176
07Nov2015  0800,5550,4615,8354
07Nov2015  0900,5538,4604,8358
07Nov2015  1000,5525,4594,1393
07Nov2015  1100,5513,4583,2786
07Nov2015  1200,5500,4573,8364
07Nov2015  1300,5488,4562,2789
07Nov2015  1400,5475,4552,0
07Nov2015  1500,5463,4542,6974
07Nov2015  1600,5450,4531,2791
07Nov2015  1700,5438,4521,1396
07Nov2015  1800,5425,4510,1395
07Nov2015  1900,5412,4500,4188
07Nov2015  2000,5400,4490,6980
07Nov2015  2100,5387,4479,1398
07Nov2015  2200,5375,4469,0
07Nov2015  2300,5362,4458,5587
08Nov2015  0000,5350,4448,4170
08Nov2015  0100,5337,4437,-4327
08Nov2015  0200,5325,4427,9310
08Nov2015  0300,5312,4417,-1318
08Nov2015  0400,5300,4406,6985
08Nov2015  0500,5287,4396,5589
08Nov2015  0600,5275,4385,4193
08Nov2015  0700,5262,4375,4194
08Nov2015  0800,5249,4364,5595
08Nov2015  0900,5237,4354,4196
08Nov2015  1000,5224,4344,1399
08Nov2015  1100,5212,4333,5598
08Nov2015  1200,5199,4323,2800
08Nov2015  1300,5187,4312,11202
08Nov2015  1400,5174,4302,-782
08Nov2015  1500,5162,4291,4620
08Nov2015  1600,5149,4281,-691
08Nov2015  1700,5137,4271,1811
08Nov2015  1800,5124,4260,1401
08Nov2015  1900,5111,4250,7001
08Nov2015  2000,5099,4239,2803
08Nov2015  2100,5086,4229,-2643
08Nov2015  2200,5074,4218,7543
08Nov2015  2300,5061,4208,-1354
09Nov2015  0000,5049,4198,2390
09Nov2015  0100,5036,4187,2769
09Nov2015  0200,5024,4177,791
09Nov2015  0300,5011,4166,4331
09Nov2015  0400,4999,4156,-398
09Nov2015  0500,4986,4145,7008
09Nov2015  0600,4974,4135,7488
09Nov2015  0700,4961,4125,4200
09Nov2015  0800,4948,4114,1399
09Nov2015  0900,4936,4104,5602
09Nov2015  1000,4923,4093,4203
09Nov2015  1100,4915,4086,2803
09Nov2015  1200,4911,4083,2803
09Nov2015  1300,4908,4080,9437
09Nov2015  1400,4904,4077,-4452
09Nov2015  1500,4900,4074,7663
09Nov2015  1600,4897,4071,9025
09Nov2015  1700,4893,4068,945
09Nov2015  1800,4890,4065,5400
09Nov2015  1900,4886,4062,-2846
09Nov2015  2000,4882,4059,8533
09Nov2015  2100,4879,4056,-904
09Nov2015  2200,4875,4053,4039
09Nov2015  2300,4871,4050,6431
10Nov2015  0000,4868,4047,6641
10Nov2015  0100,4864,4044,1859
10Nov2015  0200,4860,4041,4210
10Nov2015  0300,4857,4038,2641
10Nov2015  0400,4853,4035,3219
10Nov2015  0500,4850,4032,3710
10Nov2015  0600,4846,4029,1561
10Nov2015  0700,4842,4026,2800
10Nov2015  0800,4839,4023,8405
10Nov2015  0900,4835,4020,4203
10Nov2015  1000,4831,4017,4205
10Nov2015  1100,4828,4014,1402
10Nov2015  1200,4824,4011,7010
10Nov2015  1300,4820,4008,3466
10Nov2015  1400,4817,4005,5730
10Nov2015  1500,4813,4002,1472
10Nov2015  1600,4810,3999,5852
10Nov2015  1700,4806,3996,3008
10Nov2015  1800,4802,3993,11133
10Nov2015  1900,4799,3990,6592
10Nov2015  2000,4795,3987,-208
10Nov2015  2100,4791,3984,1064
10Nov2015  2200,4788,3981,1566
10Nov2015  2300,4784,3977,10100
11Nov2015  0000,4780,3974,-3222
11Nov2015  0100,4777,3971,7786
11Nov2015  0200,4773,3968,2098
11Nov2015  0300,4770,3965,3790
11Nov2015  0400,4766,3962,4942
11Nov2015  0500,4762,3959,3790
11Nov2015  0600,4759,3956,490
11Nov2015  0700,4755,3953,2806
11Nov2015  0800,4751,3950,2806
11Nov2015  0900,4748,3947,5611
11Nov2015  1000,4744,3944,8423
11Nov2015  1100,4740,3941,4212
11Nov2015  1200,4737,3938,0
11Nov2015  1300,4733,3935,5609
11Nov2015  1400,4730,3932,8295
11Nov2015  1500,4726,3929,3950
11Nov2015  1600,4722,3926,1350
11Nov2015  1700,4719,3923,2175
11Nov2015  1800,4746,3946,1221
11Nov2015  1900,4774,3969,8784
11Nov2015  2000,4802,3992,5685
11Nov2015  2100,4830,4015,4730
11Nov2015  2200,4858,4039,6425
11Nov2015  2300,4886,4062,4530
12Nov2015  0000,4914,4085,3830
12Nov2015  0100,4941,4108,5105
12Nov2015  0200,4969,4132,-345
12Nov2015  0300,4997,4155,7755
12Nov2015  0400,5025,4178,-1670
12Nov2015  0500,5053,4201,6175
12Nov2015  0600,5081,4225,5430
12Nov2015  0700,5109,4248,2715
12Nov2015  0800,5137,4271,4780
12Nov2015  0900,5165,4294,608
12Nov2015  1000,5193,4318,6464
12Nov2015  1100,5221,4341,518
12Nov2015  1200,5249,4364,5764
12Nov2015  1300,5277,4387,3950
12Nov2015  1400,5305,4411,2386
12Nov2015  1500,5333,4434,5274
12Nov2015  1600,5361,4457,-422
12Nov2015  1700,5389,4481,7129
12Nov2015  1800,5417,4504,-4713
12Nov2015  1900,5445,4527,5444
12Nov2015  2000,5473,4550,-169
12Nov2015  2100,5501,4574,6846
12Nov2015  2200,5529,4597,4280
12Nov2015  2300,5557,4620,2134
13Nov2015  0000,5585,4643,2386
13Nov2015  0100,5613,4667,3580
13Nov2015  0200,5641,4690,3620
13Nov2015  0300,5669,4713,5154
13Nov2015  0400,5697,4736,2136
13Nov2015  0500,5725,4760,5194
13Nov2015  0600,5753,4783,-1741
13Nov2015  0700,5781,4806,-298
13Nov2015  0800,5809,4829,12786
13Nov2015  0900,5837,4853,3208
13Nov2015  1000,5865,4876,2094
13Nov2015  1100,5893,4899,-2112
13Nov2015  1200,6037,5019,1726
13Nov2015  1300,6320,5255,5232
13Nov2015  1400,6603,5490,-3139
13Nov2015  1500,6886,5725,10919
13Nov2015  1600,7169,5960,5032
13Nov2015  1700,7452,6195,2308
13Nov2015  1800,7735,6431,5682
13Nov2015  1900,8018,6666,4780
13Nov2015  2000,8300,6901,2718
13Nov2015  2100,8583,7136,2558
13Nov2015  2200,9506,7904,6754
13Nov2015  2300,10779,8962,10762
14Nov2015  0000,12052,10020,6516
14Nov2015  0100,13325,11079,3540
14Nov2015  0200,14358,11937,7709
14Nov2015  0300,14791,12297,9113
14Nov2015  0400,15224,12657,11925
14Nov2015  0500,15657,13017,10644
14Nov2015  0600,16090,13377,12011
14Nov2015  0700,16523,13737,14830
14Nov2015  0800,16956,14097,9287
14Nov2015  0900,19367,16101,19145
14Nov2015  1000,20649,17167,13930
14Nov2015  1100,21930,18233,13488
14Nov2015  1200,23212,19299,22158
14Nov2015  1300,24494,20364,10759
14Nov2015  1400,25776,21430,25303
14Nov2015  1500,27058,22496,23453
14Nov2015  1600,28340,23562,22349
14Nov2015  1700,28529,23719,45725
14Nov2015  1800,28222,23464,23392
14Nov2015  1900,27916,23209,17350
14Nov2015  2000,27609,22954,25853
14Nov2015  2100,27303,22700,23804
14Nov2015  2200,26996,22445,22639
14Nov2015  2300,26690,22190,17023
15Nov2015  0000,26383,21935,26964
15Nov2015  0100,26077,21680,19422
15Nov2015  0200,25770,21425,21151
15Nov2015  0300,25463,21170,26415
15Nov2015  0400,25157,20915,29850
15Nov2015  0500,24868,20675,17059
15Nov2015  0600,24587,20442,26616
15Nov2015  0700,24306,20208,23754
15Nov2015  0800,24025,19974,21236
15Nov2015  0900,23744,19741,20840
15Nov2015  1000,23463,19507,20509
15Nov2015  1100,23182,19273,18900
15Nov2015  1200,22901,19040,19395
15Nov2015  1300,22619,18806,19112
15Nov2015  1400,22338,18572,23952
15Nov2015  1500,22057,18338,14468
15Nov2015  1600,21776,18105,14627
15Nov2015  1700,21880,18191,5083
15Nov2015  1800,21742,18076,20936
15Nov2015  1900,21603,17961,17924
15Nov2015  2000,21465,17846,21792
15Nov2015  2100,21327,17731,9130
15Nov2015  2200,21189,17616,20551
15Nov2015  2300,21051,17501,16920
16Nov2015  0000,20912,17386,11267
16Nov2015  0100,20774,17272,20434
16Nov2015  0200,20636,17157,12000
16Nov2015  0300,20498,17042,9250
16Nov2015  0400,20332,16904,18908
16Nov2015  0500,20005,16632,16891
16Nov2015  0600,19678,16360,14830
16Nov2015  0700,19350,16088,8800
16Nov2015  0800,19023,15816,14334
16Nov2015  0900,18696,15544,18512
16Nov2015  1000,18368,15271,9606
16Nov2015  1100,18041,14999,15885
16Nov2015  1200,17714,14727,11629
16Nov2015  1300,17386,14455,14181
16Nov2015  1400,17059,14183,9921
16Nov2015  1500,16732,13911,11101
16Nov2015  1600,16404,13639,9150
16Nov2015  1700,16077,13366,8580
16Nov2015  1800,15750,13094,10820
16Nov2015  1900,15422,12822,15244
16Nov2015  2000,15095,12550,11464
16Nov2015  2100,14931,12413,5906
16Nov2015  2200,14810,12313,7860
16Nov2015  2300,14688,12212,9190
17Nov2015  0000,14567,12111,12274
17Nov2015  0100,14446,12010,13695
17Nov2015  0200,14325,11909,8316
17Nov2015  0300,14203,11809,12496
17Nov2015  0400,14082,11708,12420
17Nov2015  0500,13961,11607,9616
17Nov2015  0600,13840,11506,11242
17Nov2015  0700,13718,11405,7300
17Nov2015  0800,13597,11305,24982
17Nov2015  0900,13476,11204,-4092
17Nov2015  1000,13884,11543,19776
17Nov2015  1100,14508,12062,16673
17Nov2015  1200,15131,12580,1357
17Nov2015  1300,15755,13099,20022
17Nov2015  1400,16378,13617,-1327
17Nov2015  1500,17002,14135,2130
17Nov2015  1600,17625,14654,24899
17Nov2015  1700,18342,15250,22589
17Nov2015  1800,20125,16732,2851
17Nov2015  1900,21907,18213,14673
17Nov2015  2000,23689,19695,10767
17Nov2015  2100,25471,21177,33093
17Nov2015  2200,30020,24958,18613
17Nov2015  2300,32802,27272,13583
18Nov2015  0000,35585,29585,30117
18Nov2015  0100,38368,31899,14454
18Nov2015  0200,41050,34129,48623
18Nov2015  0300,42408,35258,38809
18Nov2015  0400,43766,36387,39546
18Nov2015  0500,45124,37516,47755
18Nov2015  0600,46141,38362,35716
18Nov2015  0700,46804,38913,46237
18Nov2015  0800,47466,39463,49347
18Nov2015  0900,48129,40014,23973
18Nov2015  1000,48791,40565,63079
18Nov2015  1100,49253,40949,37648
18Nov2015  1200,48259,40123,52298
18Nov2015  1300,47266,39297,31085
18Nov2015  1400,46272,38470,32733
18Nov2015  1500,45179,37561,31676
18Nov2015  1600,44074,36643,33133
18Nov2015  1700,42970,35725,31160
18Nov2015  1800,41825,34773,43098
18Nov2015  1900,40430,33614,27987
18Nov2015  2000,39035,32454,36499
18Nov2015  2100,37641,31294,41285
18Nov2015  2200,36616,30443,25513
18Nov2015  2300,35722,29699,42770
19Nov2015  0000,34827,28955,26015
19Nov2015  0100,33970,28243,41392
19Nov2015  0200,33307,27692,27813
19Nov2015  0300,32645,27141,38908
19Nov2015  0400,31982,26590,36702
19Nov2015  0500,31320,26039,26248
19Nov2015  0600,30494,25352,32144
19Nov2015  0700,29642,24644,30082
19Nov2015  0800,28790,23936,36039
19Nov2015  0900,27938,23228,26290
19Nov2015  1000,27086,22519,33890
19Nov2015  1100,26234,21811,20819
19Nov2015  1200,25613,21295,21478
19Nov2015  1300,25145,20906,32809
19Nov2015  1400,24678,20517,27018
19Nov2015  1500,24210,20128,24876
19Nov2015  1600,23742,19739,21451
19Nov2015  1700,23275,19351,24929
19Nov2015  1800,22764,18926,22825
19Nov2015  1900,22211,18467,831
19Nov2015  2000,21659,18008,10927
19Nov2015  2100,21107,17549,9730
19Nov2015  2200,20555,17090,22052
19Nov2015  2300,20003,16630,20431
20Nov2015  0000,20126,16733,14852
20Nov2015  0100,19736,16409,20122
20Nov2015  0200,19347,16085,16997
20Nov2015  0300,18957,15761,18720
20Nov2015  0400,18567,15437,16893
20Nov2015  0500,18178,15113,16304
20Nov2015  0600,17795,14795,14324
20Nov2015  0700,17600,14633,17047
20Nov2015  0800,17405,14471,17209
20Nov2015  0900,17210,14309,18604
20Nov2015  1000,17016,14147,13675
20Nov2015  1100,16821,13985,19150
20Nov2015  1200,16626,13823,8880
20Nov2015  1300,16431,13661,8920
20Nov2015  1400,16236,13499,24074
20Nov2015  1500,16041,13337,12148
20Nov2015  1600,15847,13175,13160
20Nov2015  1700,15652,13013,13463
20Nov2015  1800,15457,12851,10320
20Nov2015  1900,15262,12689,14214
20Nov2015  2000,15067,12527,9665
20Nov2015  2100,14872,12365,15689
20Nov2015  2200,14677,12203,8180
20Nov2015  2300,14483,12041,14174
21Nov2015  0000,14288,11879,14282
21Nov2015  0100,14093,11717,4398
21Nov2015  0200,13898,11555,20939
21Nov2015  0300,13703,11393,8715
21Nov2015  0400,13508,11231,9074
21Nov2015  0500,13314,11069,19817
21Nov2015  0600,13119,10907,9420
21Nov2015  0700,12924,10745,5336
21Nov2015  0800,12729,10583,11675
21Nov2015  0900,12534,10421,5452
21Nov2015  1000,12339,10259,13471
21Nov2015  1100,12144,10097,18336
21Nov2015  1200,11950,9935,-1358
21Nov2015  1300,11816,9823,17865
21Nov2015  1400,11739,9760,4826
21Nov2015  1500,11662,9696,11486
21Nov2015  1600,11585,9632,4792
21Nov2015  1700,11508,9568,7874
21Nov2015  1800,11432,9504,12226
21Nov2015  1900,11355,9440,10054
21Nov2015  2000,11278,9377,3791
21Nov2015  2100,11201,9313,11650
21Nov2015  2200,11124,9249,8226
21Nov2015  2300,11048,9185,7997
22Nov2015  0000,10971,9121,14140
22Nov2015  0100,10894,9057,3021
22Nov2015  0200,10817,8994,11850
22Nov2015  0300,10741,8930,6285
22Nov2015  0400,10664,8866,10017
22Nov2015  0500,10587,8802,9012
22Nov2015  0600,10510,8738,9363
22Nov2015  0700,10433,8674,10648
22Nov2015  0800,10357,8610,4695
22Nov2015  0900,10280,8547,10297
22Nov2015  1000,10203,8483,9055
22Nov2015  1100,10126,8419,7503
22Nov2015  1200,10049,8355,5831
22Nov2015  1300,9973,8291,10330
22Nov2015  1400,9896,8227,6343
22Nov2015  1500,9819,8164,8858
22Nov2015  1600,9742,8100,5604
22Nov2015  1700,9666,8036,7236
22Nov2015  1800,9589,7972,8288
22Nov2015  1900,9512,7908,7708
22Nov2015  2000,9435,7844,7057
22Nov2015  2100,9358,7781,7449
22Nov2015  2200,9282,7717,4942
22Nov2015  2300,9205,7653,11260
23Nov2015  0000,9128,7589,1326
23Nov2015  0100,9051,7525,8394
23Nov2015  0200,8975,7461,7197
23Nov2015  0300,8898,7398,3012
23Nov2015  0400,8821,7334,9834
23Nov2015  0500,8744,7270,12070
23Nov2015  0600,8667,7206,6770
23Nov2015  0700,8591,7142,3531
23Nov2015  0800,8514,7078,11233
23Nov2015  0900,8437,7015,2857
23Nov2015  1000,8360,6951,7456
23Nov2015  1100,8283,6887,9984
23Nov2015  1200,8207,6823,4451
23Nov2015  1300,8130,6759,6789
23Nov2015  1400,8072,6711,1540
23Nov2015  1500,8036,6681,13366
23Nov2015  1600,8001,6652,2683
23Nov2015  1700,7965,6622,9663
23Nov2015  1800,7929,6592,-1039
23Nov2015  1900,7893,6563,8790
23Nov2015  2000,7858,6533,7719
23Nov2015  2100,7822,6503,5215
23Nov2015  2200,7786,6474,5980
23Nov2015  2300,7751,6444,2970
24Nov2015  0000,7715,6414,10850
24Nov2015  0100,7679,6384,7546
24Nov2015  0200,7643,6355,7276
24Nov2015  0300,7608,6325,2837
24Nov2015  0400,7572,6295,5139
24Nov2015  0500,7536,6266,7680
24Nov2015  0600,7501,6236,6923
24Nov2015  0700,7465,6206,5973
24Nov2015  0800,7429,6177,9622
24Nov2015  0900,7393,6147,1102
24Nov2015  1000,7358,6117,9354
24Nov2015  1100,7322,6087,3334
24Nov2015  1200,7286,6058,7417
24Nov2015  1300,7250,6028,5292
24Nov2015  1400,7215,5998,5682
24Nov2015  1500,7179,5969,7423
24Nov2015  1600,7143,5939,18503
24Nov2015  1700,7108,5909,-9422
24Nov2015  1800,7072,5880,8655
24Nov2015  1900,7036,5850,3874
24Nov2015  2000,7000,5820,5152
24Nov2015  2100,6965,5790,5075
24Nov2015  2200,6929,5761,12542
24Nov2015  2300,6893,5731,-288
25Nov2015  0000,6858,5701,3788
25Nov2015  0100,6822,5672,4934
25Nov2015  0200,6786,5642,6000
25Nov2015  0300,6750,5612,6011
25Nov2015  0400,6715,5583,3410
25Nov2015  0500,6679,5553,5936
25Nov2015  0600,6643,5523,5747
25Nov2015  0700,6607,5493,8268
25Nov2015  0800,6572,5464,-428
25Nov2015  0900,6536,5434,10751
25Nov2015  1000,6500,5404,3396
25Nov2015  1100,6465,5375,2420
25Nov2015  1200,6429,5345,2224
25Nov2015  1300,6393,5315,13107
25Nov2015  1400,6357,5286,3871
25Nov2015  1500,6322,5256,4516
25Nov2015  1600,6286,5226,4453
25Nov2015  1700,6250,5196,3249
25Nov2015  1800,6215,5167,4271
25Nov2015  1900,6179,5137,5218
25Nov2015  2000,6143,5107,2792
25Nov2015  2100,6107,5078,7613
25Nov2015  2200,6072,5048,7023
25Nov2015  2300,6036,5018,5892
26Nov2015  0000,6000,4989,533
26Nov2015  0100,5964,4959,7309
26Nov2015  0200,5929,4929,4113
26Nov2015  0300,5902,4907,2906
26Nov2015  0400,5888,4895,4172
26Nov2015  0500,5874,4883,8537
26Nov2015  0600,5859,4871,2137
26Nov2015  0700,5845,4860,3632
26Nov2015  0800,5831,4848,2208
26Nov2015  0900,5817,4836,8375
26Nov2015  1000,5803,4824,5889
26Nov2015  1100,5788,4812,6941
26Nov2015  1200,5774,4801,1106
26Nov2015  1300,5760,4789,5270
26Nov2015  1400,5746,4777,6814
26Nov2015  1500,5732,4765,2957
26Nov2015  1600,5717,4753,1631
26Nov2015  1700,5703,4742,10485
26Nov2015  1800,5689,4730,-1935
26Nov2015  1900,5675,4718,3582
26Nov2015  2000,5660,4706,8478
26Nov2015  2100,5646,4694,-1893
26Nov2015  2200,5632,4682,7249
26Nov2015  2300,5618,4671,7452
27Nov2015  0000,5604,4659,3087
27Nov2015  0100,5589,4647,1540
27Nov2015  0200,5575,4635,4705
27Nov2015  0300,5561,4623,6708
27Nov2015  0400,5547,4612,7190
27Nov2015  0500,5533,4600,3513
27Nov2015  0600,5518,4588,8072
27Nov2015  0700,5504,4576,-26
27Nov2015  0800,5490,4564,6013
27Nov2015  0900,5476,4553,28
27Nov2015  1000,5462,4541,6019
27Nov2015  1100,5447,4529,2364
27Nov2015  1200,5433,4517,6991
27Nov2015  1300,5419,4505,1383
27Nov2015  1400,5405,4493,2028
27Nov2015  1500,5391,4482,5537
27Nov2015  1600,5376,4470,-417
27Nov2015  1700,5362,4458,4175
27Nov2015  1800,5348,4446,-2413
27Nov2015  1900,5334,4434,5015
27Nov2015  2000,5319,4423,-1278
27Nov2015  2100,5305,4411,2262
27Nov2015  2200,5291,4399,5277
27Nov2015  2300,5277,4387,-1045
28Nov2015  0000,5263,4375,2152
28Nov2015  0100,5248,4364,3317
28Nov2015  0200,5234,4352,-6174
28Nov2015  0300,5220,4340,-398
28Nov2015  0400,5206,4328,8923
28Nov2015  0500,5192,4316,2901
28Nov2015  0600,5177,4304,-86
28Nov2015  0700,5163,4293,-547
28Nov2015  0800,5149,4281,6140
28Nov2015  0900,5135,4269,-5048
28Nov2015  1000,5121,4257,14592
28Nov2015  1100,5106,4245,-282
28Nov2015  1200,5092,4234,-3229
28Nov2015  1300,5078,4222,6020
28Nov2015  1400,5064,4210,4453
28Nov2015  1500,5050,4198,-867
28Nov2015  1600,5035,4186,3416
28Nov2015  1700,5021,4175,3990
28Nov2015  1800,5007,4163,1611
28Nov2015  1900,4993,4151,-4374
28Nov2015  2000,4979,4139,4731
28Nov2015  2100,4964,4127,6542
28Nov2015  2200,4950,4116,2119
28Nov2015  2300,4936,4104,-3737
29Nov2015  0000,4922,4092,1249
29Nov2015  0100,4919,4090,2824
29Nov2015  0200,4923,4093,1753
29Nov2015  0300,4927,4096,1639
29Nov2015  0400,4931,4099,-4687
29Nov2015  0500,4934,4102,4821
29Nov2015  0600,4938,4106,10622
29Nov2015  0700,4942,4109,-1082
29Nov2015  0800,4946,4112,-2099
29Nov2015  0900,4950,4115,4819
29Nov2015  1000,4953,4118,5229
29Nov2015  1100,4957,4121,-606
29Nov2015  1200,4961,4124,2075
29Nov2015  1300,4965,4128,3665
29Nov2015  1400,4968,4131,-2778
29Nov2015  1500,4972,4134,5810
29Nov2015  1600,4976,4137,-440
29Nov2015  1700,4980,4140,843
29Nov2015  1800,4984,4143,819
29Nov2015  1900,4987,4147,4154
29Nov2015  2000,4991,4150,-3687
29Nov2015  2100,4995,4153,1839
29Nov2015  2200,4999,4156,822
29Nov2015  2300,5003,4159,2015
30Nov2015  0000,5006,4162,8430
30Nov2015  0100,5010,4165,3219
30Nov2015  0200,5014,4169,1755
30Nov2015  0300,5018,4172,-8383
30Nov2015  0400,5022,4175,316
30Nov2015  0500,5025,4178,9044
30Nov2015  0600,5029,4181,-7502
30Nov2015  0700,5033,4184,12071
30Nov2015  0800,5037,4187,2545
30Nov2015  0900,5040,4191,-499
30Nov2015  1000,5044,4194,-1785
30Nov2015  1100,5048,4197,2567
30Nov2015  1200,5052,4200,7076
30Nov2015  1300,5056,4203,-2223
30Nov2015  1400,5059,4206,957
30Nov2015  1500,5063,4210,2183
30Nov2015  1600,5067,4213,-327
30Nov2015  1700,5071,4216,4221
30Nov2015  1800,5075,4219,-953
30Nov2015  1900,5078,4222,-5299
30Nov2015  2000,5082,4225,1988
30Nov2015  2100,5086,4228,3447
30Nov2015  2200,5090,4232,465
30Nov2015  2300,5093,4235,524
01Dec2015  0000,5097,4238,1982
01Dec2015  0100,5101,4241,3477
01Dec2015  0200,5105,4244,-2386
01Dec2015  0300,5109,4247,1732
01Dec2015  0400,5112,4250,2044
01Dec2015  0500,5120,4257,1331
01Dec2015  0600,5136,4270,2939
01Dec2015  0700,5152,4283,2398
01Dec2015  0800,5168,4296,2494
01Dec2015  0900,5183,4310,2110
01Dec2015  1000,5199,4323,-106
01Dec2015  1100,5215,4336,6590
01Dec2015  1200,5231,4349,3966
01Dec2015  1300,5247,4362,2759
01Dec2015  1400,5263,4375,248
01Dec2015  1500,5278,4388,1194
01Dec2015  1600,5294,4402,3960
01Dec2015  1700,5310,4415,-2106
01Dec2015  1800,5326,4428,253
01Dec2015  1900,5342,4441,-3479
01Dec2015  2000,5357,4454,390
01Dec2015  2100,5373,4467,6148
01Dec2015  2200,5389,4480,4763
01Dec2015  2300,5405,4494,1141
02Dec2015  0000,5421,4507,-816
02Dec2015  0100,5436,4520,7557
02Dec2015  0200,5452,4533,-821
02Dec2015  0300,5468,4546,2806
02Dec2015  0400,5484,4559,1547
02Dec2015  0500,5500,4572,1883
02Dec2015  0600,5516,4586,2710
02Dec2015  0700,5531,4599,426
02Dec2015  0800,5547,4612,9308
02Dec2015  0900,5563,4625,-9006
02Dec2015  1000,5579,4638,7228
02Dec2015  1100,5595,4651,3840
02Dec2015  1200,5610,4664,-4692
02Dec2015  1300,5626,4678,6384
02Dec2015  1400,5642,4691,6755
02Dec2015  1500,5658,4704,-8000
02Dec2015  1600,5674,4717,4000
02Dec2015  1700,5689,4730,4413
02Dec2015  1800,5705,4743,-1168
02Dec2015  1900,5721,4757,-1804
02Dec2015  2000,5737,4770,6058
02Dec2015  2100,5753,4783,-1130
02Dec2015  2200,5769,4796,551
02Dec2015  2300,5784,4809,3439
03Dec2015  0000,5800,4822,-19
03Dec2015  0100,5816,4835,5294
03Dec2015  0200,5832,4849,-4554
03Dec2015  0300,5848,4862,8053
03Dec2015  0400,5863,4875,-3841
03Dec2015  0500,5879,4888,9270
03Dec2015  0600,5895,4901,-2032
03Dec2015  0700,5911,4914,-3243
03Dec2015  0800,5927,4927,9560
03Dec2015  0900,5943,4941,7076
03Dec2015  1000,5958,4954,-3281
03Dec2015  1100,5974,4967,1826
03Dec2015  1200,5990,4980,9254
03Dec2015  1300,6006,4993,-5970
03Dec2015  1400,6022,5006,10404
03Dec2015  1500,6037,5019,-5010
03Dec2015  1600,6053,5033,12908
03Dec2015  1700,6069,5046,-5675
03Dec2015  1800,6085,5059,2093
03Dec2015  1900,6101,5072,-5740
03Dec2015  2000,6116,5085,2983
03Dec2015  2100,6132,5098,-2475
03Dec2015  2200,6148,5112,468
03Dec2015  2300,6164,5125,10650
04Dec2015  0000,6180,5138,-11877
04Dec2015  0100,6196,5151,4004
04Dec2015  0200,6211,5164,3229
04Dec2015  0300,6227,5177,5708
04Dec2015  0400,6243,5190,98
04Dec2015  0500,6259,5204,2047
04Dec2015  0600,6275,5217,4820
04Dec2015  0700,6290,5230,3048
