WY,reg_peak,usgs_peak,adjustment,reg_peak_time,unreg_Peak_1-hr,unreg_Peak_1-hr_centre,unreg_Peak_1-hr_cov,unreg_Peak_1-hr_lag_hrs,unreg_1-Day,unreg_1-Day_centre,unreg_1-Day_cov,unreg_1-Day_lag_hrs,unreg_3-Day,unreg_3-Day_centre,unreg_3-Day_cov,unreg_3-Day_lag_hrs,unreg_5-Day,unreg_5-Day_centre,unreg_5-Day_cov,unreg_5-Day_lag_hrs,mb_One_day,mb_Three_Day,mb_Five_Day,mb_peak_1hr
2012,50899.20,36900.00,13999.20,2011-11-23,46709.23,2011-11-23 22:00:00,1.00,22.00,42843.35,2011-11-23 22:30:00,1.00,22.50,35403.91,2011-11-24 15:30:00,1.00,39.50,29565.29,2011-11-25 11:30:00,1.00,59.50,50128.33,40864.76,34419.01,57286.13
2013,61257.00,47000.00,14257.00,2012-11-19,57713.53,2012-11-20 06:00:00,1.00,30.00,51642.92,2012-11-20 11:30:00,1.00,35.50,37922.96,2012-11-21 04:30:00,1.00,52.50,31665.52,2012-11-22 07:30:00,1.00,79.50,47949.80,36797.34,30359.38,
2014,46300.00,32300.00,14000.00,2014-03-06,58808.32,2014-03-07 02:00:00,1.00,26.00,56491.71,2014-03-06 23:30:00,1.00,23.50,45032.62,2014-03-07 15:30:00,1.00,39.50,46696.78,2014-03-08 17:30:00,1.00,65.50,56776.66,45134.19,46396.18,60267.57
2015,52504.00,38500.00,14004.00,2015-01-05,46094.07,2015-01-06 00:00:00,1.00,24.00,42320.07,2015-01-06 03:30:00,1.00,27.50,31683.05,2015-01-06 19:30:00,1.00,43.50,26180.43,2015-01-07 11:30:00,1.00,59.50,37999.95,32555.35,31664.37,47322.91
2016,84375.30,83700.00,675.30,2015-12-09,152269.95,2015-12-09 17:00:00,1.00,17.00,136251.62,2015-12-09 17:30:00,1.00,17.50,95338.60,2015-12-10 06:30:00,1.00,30.50,73366.65,2015-12-10 10:30:00,1.00,34.50,135012.64,92956.52,72910.35,135790.03
2017,52514.90,40000.00,12514.90,2017-02-09,56163.93,2017-02-10 06:00:00,1.00,30.00,53016.26,2017-02-10 09:30:00,1.00,33.50,39517.06,2017-02-10 22:30:00,1.00,46.50,31475.97,2017-02-11 13:30:00,1.00,61.50,59697.03,51009.62,47185.82,64342.25
2018,49096.30,35100.00,13996.30,2017-12-30,54858.21,2017-12-30 10:00:00,1.00,10.00,52041.66,2017-12-30 12:30:00,1.00,12.50,39458.42,2017-12-31 02:30:00,1.00,26.50,31552.66,2017-12-31 16:30:00,1.00,40.50,50967.64,47284.91,39299.54,54187.77
2020,47400.00,47400.00,0.00,2020-02-07,77812.54,2020-02-08 08:00:00,1.00,32.00,74242.92,2020-02-08 05:30:00,1.00,29.50,62548.83,2020-02-08 12:30:00,1.00,36.50,51361.00,2020-02-08 18:30:00,1.00,42.50,72928.17,60464.87,51296.99,77812.45
2021,53913.00,45600.00,8313.00,2021-01-03,50995.82,2021-01-03 14:00:00,1.00,14.00,45190.21,2021-01-03 23:30:00,1.00,23.50,39895.35,2021-01-04 17:30:00,1.00,41.50,35316.30,2021-01-05 13:30:00,1.00,61.50,60801.84,42828.90,35700.37,61702.94
2022,64539.40,63900.00,639.40,2022-01-07,79833.69,2022-01-07 12:00:00,1.00,12.00,73025.59,2022-01-07 13:30:00,1.00,13.50,56065.99,2022-01-08 04:30:00,1.00,28.50,43063.17,2022-01-09 01:30:00,1.00,49.50,74998.42,60850.58,50050.34,77833.09
2023,48393.00,34400.00,13993.00,2022-12-27,69113.27,2022-12-28 01:00:00,1.00,25.00,62488.81,2022-12-28 03:30:00,1.00,27.50,47577.31,2022-12-28 13:30:00,1.00,37.50,38213.91,2022-12-29 09:30:00,1.00,57.50,97190.05,47709.95,35340.60,65622.84
2024,54458.90,44800.00,9658.90,2023-12-06,87399.34,2023-12-06 18:00:00,1.00,18.00,82770.03,2023-12-06 17:30:00,1.00,17.50,64970.39,2023-12-07 01:30:00,1.00,25.50,51698.27,2023-12-08 00:30:00,1.00,48.50,79558.07,59644.00,48588.59,81192.09
